,,,,,,,,,,,,,,FTP DL,,,,,,,,,FTP UL,,,,,,,,,Capacity DL,,,,,,,,,Capacity UL,,,,,,,,,SpeedTest,,,,,,,,,,,,,,,,,,HTTP DL Transfer,,,,,,,HTTP UL Transfer,,,,,,,Browsing,,,,,,,,,Ping Test,,,,,,Youtube,,,,,,,,,,,,,,,Instagram Post Picture,,,,,,Instagram Post Video,,,,,,Whatsapp Call,,,,,,,,,,,Whatsapp Message,,,,SMS Onnet,,,SMS Offnet,,,Voice Call Onnet,,,,,,,,,,,,,,,Voice Call Offnet,,,,,,,,,,,,,,,Average Voice Call,,,,,,,,,,,,,,,Signal Strenght 5G,,Signal Qualty 5G,,Signal Qualty 5G,,Signal Strenght 4G,,Signal Qualty 4G,,Signal Qualty 4G,,Signal Strenght 2G,,Signal Quality 2G,,Bad Signal Strenght 5G,,,Bad Signal Qualty 5G,,,Bad Signal Qualty 5G,,,Bad Signal Strenght 4G,,,Bad Signal Qualty 4G,,,Bad Signal Qualty 4G,,,Bad Signal Strenght 2G,,,Bad Signal Quality 2G,,,,Detail Value 5G,,,,,,,,,,,Detail Value 4G,,,,,,,,,,,Detail Value 2G,,,,,,,,,,,,,
37,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Kantor Bupati Kab. Konawe Utara,-,-,ST Kantor Bupati,Reguler,Loka Kendari,05-Mar-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,12,100.00,161.92,160.50,204.00,126.00,29.83,100.00,55.53,59.60,63.00,30.30,29.83,1,2,1,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,13,13,100.00,13.18,17.34,6.29,1.76,38.69,1,13,13,100.00,0.00,74.04,100.00,13,13,100.00,1.05,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,12,0,0,100.00,0.00,0.00,4.03,100.00,0.00,3.17,91.67,12,0,100.00,0.72,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-84.28,Baik Sekali,-8.17,Baik Sekali,12.29,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,32531,0,0.00,32531,39,0.12,31044,4163,13.41,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,161.92,55.53,No Data,No Data,74.04,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.512634,122.109646,0
38,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Kantor Bupati Kab. Konawe Utara,-,-,ST Kantor Bupati,Reguler,Loka Kendari,05-Mar-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,13,100.00,20.32,18.40,41.20,7.12,27.62,100.00,23.15,24.20,46.40,8.14,27.62,3,3,2,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,13,13,100.00,6.61,11.99,1.17,2.98,58.08,2,13,12,92.31,7.69,90.99,100.00,13,13,100.00,2.33,0.00,4.12,0.00,0.00,0.00,7.69,15.38,0.00,23.08,53.85,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,12,0,1,91.67,0.00,8.33,3.68,100.00,0.00,1.61,100.00,12,0,100.00,1.10,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-94.29,Baik,-15.71,Cukup,-1.56,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,12977,197,1.52,12977,4805,37.03,12355,12302,99.57,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20.32,23.15,No Data,No Data,95.40,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.512634,122.109646,0.007
39,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Kantor Bupati Kab. Konawe Utara,-,-,ST Kantor Bupati,Reguler,Loka Kendari,05-Mar-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,11,91.67,22.75,2.18,116.00,1.36,93.64,91.67,74.46,72.00,94.40,53.60,93.64,2,1,3,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,11,11,100.00,4.69,13.35,1.17,5.85,140.91,3,13,4,30.77,69.23,97.16,100.00,12,11,91.67,5.82,18.18,3.81,0.00,0.00,0.00,27.27,0.00,18.18,36.36,18.18,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,12,0,0,100.00,0.00,0.00,2.98,91.67,8.33,3.09,100.00,12,0,100.00,1.02,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-86.01,Baik Sekali,-8.08,Baik Sekali,11.15,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,37270,170,0.46,37270,49,0.13,20512,4471,21.80,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,20.85,68.26,No Data,No Data,117.08,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.512634,122.109646,0.001
40,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Pusat Perekonomian Kab. Konawe Utara,-,-,ST Pusat Perekonomian,Reguler,Loka Kendari,05-Mar-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,12,100.00,110.38,108.50,144.00,79.20,26.42,100.00,45.18,49.85,54.10,23.40,26.42,2,2,3,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,12,100.00,11.18,15.01,5.84,1.91,59.33,1,12,12,100.00,0.00,72.47,100.00,12,12,100.00,1.37,0.00,4.36,0.00,0.00,0.00,0.00,0.00,0.00,8.33,91.67,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,11,0,0,100.00,0.00,0.00,3.95,100.00,0.00,1.69,100.00,12,0,100.00,0.64,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-90.65,Baik Sekali,-13.09,Cukup,4.29,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,54739,372,0.68,54739,8880,16.22,51505,35889,69.68,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,110.38,45.18,No Data,No Data,72.47,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.612257,122.19691,0.045
41,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Pusat Perekonomian Kab. Konawe Utara,-,-,ST Pusat Perekonomian,Reguler,Loka Kendari,05-Mar-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,13,100.00,109.14,115.00,152.00,68.30,28.69,100.00,56.29,55.20,74.50,39.10,28.69,3,1,2,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,13,13,100.00,8.09,15.35,1.96,3.01,27.77,3,13,13,100.00,0.00,62.68,100.00,13,13,100.00,1.20,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,15.38,84.62,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,13,0,0,100.00,0.00,0.00,4.01,100.00,0.00,1.38,100.00,12,0,100.00,0.51,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-89.79,Baik Sekali,-14.62,Cukup,5.60,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,23024,378,1.64,23024,6156,26.74,19012,11397,59.95,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,109.14,56.29,No Data,No Data,62.68,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.612257,122.19691,0
42,74,Sulawesi Tenggara,7409,Konawe Utara,ST,20260305 ST Pusat Perekonomian Kab. Konawe Utara,-,-,ST Pusat Perekonomian,Reguler,Loka Kendari,05-Mar-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,13,13,100.00,125.46,126.00,127.00,122.00,89.77,100.00,3.09,2.78,5.72,2.12,89.77,1,3,1,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,13,13,100.00,9.35,12.44,0.51,4.19,104.00,2,13,13,100.00,0.00,106.79,100.00,13,13,100.00,1.16,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,7.69,92.31,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,12,0,0,100.00,0.00,0.00,4.02,100.00,0.00,1.56,100.00,12,0,100.00,0.63,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-86.71,Baik Sekali,-8.52,Baik Sekali,11.00,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,34807,3,0.01,34807,65,0.19,21186,2230,10.53,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,125.46,3.09,No Data,No Data,106.79,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-3.612257,122.19691,0.038
43,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMAN 1 Wawonii Kab. Konawe Kepulauan,-,-,ST SMAN 1 Wawonii,Reguler,Loka Kendari,18-May-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,9,9,100.00,124.81,104.00,249.00,24.50,No Data,100.00,7.78,7.28,13.00,4.70,31.33,2,3,3,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,9,9,100.00,5.10,7.14,4.11,1.95,84.00,2,0,0,No Data,No Data,No Data,No Data,9,9,100.00,1.87,0.00,4.29,0.00,0.00,0.00,0.00,0.00,0.00,22.22,77.78,0.00,2,1,50.00,0.65,12.22,0.00,0,0,No Data,No Data,No Data,No Data,7,2,0,71.43,28.57,0.00,3.38,100.00,0.00,2.96,100.00,18,12,33.33,1.27,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-104.96,Cukup,-9.12,Baik Sekali,13.74,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,54552,24587,45.07,54552,226,0.41,29904,539,1.80,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,124.81,7.78,No Data,No Data,No Data,0.16,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.03006,122.98667,0.001
44,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMAN 1 Wawonii Kab. Konawe Kepulauan,-,-,ST SMAN 1 Wawonii,Reguler,Loka Kendari,18-May-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,12,100.00,146.92,148.00,166.00,130.00,No Data,100.00,72.16,69.95,97.20,51.90,28.92,1,1,1,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,12,100.00,5.36,7.11,3.83,1.60,24.83,1,0,0,No Data,No Data,No Data,No Data,12,12,100.00,1.27,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,16.67,83.33,0.00,5,5,100.00,0.86,9.34,0.00,5,5,100.00,4.76,27.07,100.00,11,0,0,100.00,0.00,0.00,3.97,100.00,0.00,1.41,100.00,24,0,100.00,1.10,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-85.59,Baik Sekali,-11.12,Baik,6.24,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,40849,0,0.00,40849,11,0.03,25909,17587,67.88,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,146.92,72.16,No Data,No Data,No Data,0.86,4.76,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.03006,122.98667,0
45,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMAN 1 Wawonii Kab. Konawe Kepulauan,-,-,ST SMAN 1 Wawonii,Reguler,Loka Kendari,18-May-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,10,10,100.00,112.29,118.00,121.00,68.90,No Data,100.00,52.33,50.55,80.20,29.70,93.90,3,2,2,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,10,10,100.00,4.38,5.88,3.66,2.27,117.50,3,0,0,No Data,No Data,No Data,No Data,11,11,100.00,1.82,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,18.18,81.82,0.00,5,5,100.00,0.80,9.97,0.00,0,0,No Data,No Data,No Data,No Data,10,0,0,100.00,0.00,0.00,4.02,100.00,0.00,1.72,100.00,20,0,100.00,1.42,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-88.65,Baik Sekali,-9.95,Baik Sekali,10.66,Cukup,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,26556,0,0.00,26556,13,0.05,20295,1981,9.76,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,102.08,47.57,No Data,No Data,No Data,0.80,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.03006,122.98667,0.002
46,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMPN 1 Wawonii Barat Kab. Konawe Kepulauan,-,-,ST SMPN 1 Wawonii Barat,Reguler,Loka Kendari,18-May-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,9,9,100.00,53.63,56.80,58.70,37.20,No Data,100.00,3.08,2.78,4.93,2.03,36.67,2,3,2,3,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,9,9,100.00,4.50,5.52,3.76,2.85,142.56,3,0,0,No Data,No Data,No Data,No Data,9,9,100.00,1.57,0.00,4.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,3,3,100.00,0.61,13.08,0.00,1,1,100.00,1.97,65.25,100.00,9,0,0,100.00,0.00,0.00,4.03,100.00,0.00,1.98,100.00,18,2,88.89,2.34,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-111.27,Kurang,-9.85,Baik Sekali,7.26,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,26334,24404,92.67,26334,14,0.05,23877,14428,60.43,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,53.63,3.08,No Data,No Data,No Data,0.46,0.49,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.02364,122.990768,0
47,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMPN 1 Wawonii Barat Kab. Konawe Kepulauan,-,-,ST SMPN 1 Wawonii Barat,Reguler,Loka Kendari,18-May-2026,TSEL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,11,91.67,52.43,54.30,61.50,40.00,No Data,91.67,60.62,60.90,70.60,48.20,28.27,3,2,3,2,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,12,100.00,5.93,6.98,4.65,1.46,27.00,1,0,0,No Data,No Data,No Data,No Data,12,12,100.00,1.10,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,5,5,100.00,0.85,9.51,0.00,5,5,100.00,4.80,26.89,100.00,12,0,0,100.00,0.00,0.00,4.05,100.00,0.00,1.43,100.00,24,0,100.00,1.13,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-98.47,Baik,-14.02,Cukup,1.34,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,42678,5940,13.92,42678,11730,27.48,25000,23953,95.81,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,48.06,55.57,No Data,No Data,No Data,0.85,4.80,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.02364,122.990768,0
48,74,Sulawesi Tenggara,7412,Konawe Kepulauan,ST,20260518 ST SMPN 1 Wawonii Barat Kab. Konawe Kepulauan,-,-,ST SMPN 1 Wawonii Barat,Reguler,Loka Kendari,18-May-2026,XLS,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,12,12,100.00,100.03,99.80,124.00,62.80,No Data,100.00,69.38,71.35,83.60,49.60,90.83,1,1,1,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,12,12,100.00,4.90,6.58,3.27,2.04,114.42,2,0,0,No Data,No Data,No Data,No Data,12,12,100.00,1.46,0.00,4.37,0.00,0.00,0.00,0.00,0.00,0.00,16.67,83.33,0.00,5,5,100.00,0.80,9.95,0.00,5,5,100.00,4.64,27.92,100.00,10,0,0,100.00,0.00,0.00,4.09,100.00,0.00,1.64,100.00,24,0,100.00,1.34,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-87.86,Baik Sekali,-11.20,Baik,6.15,Kurang,No Data,No Data,No Data,No Data,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,25106,0,0.00,25106,748,2.98,19303,14448,74.85,0,0,No Data,0,0,No Data,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100.03,69.38,No Data,No Data,No Data,0.80,4.64,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.02364,122.990768,0
49,74,Sulawesi Tenggara,7412,Konawe Kepulauan,DT,20260519 DT Kab. Konawe Kepulauan,-,-,DT Kab. Konawe Kepulauan,Reguler,Loka Kendari,19-May-2026,IOH,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,3,2,66.67,261.50,261.50,312.00,211.00,No Data,66.67,18.40,18.40,27.60,9.19,29.50,1,2,1,1,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,2,1,50.00,5.74,5.74,5.74,1.83,75.00,1,0,0,No Data,No Data,No Data,No Data,2,2,100.00,1.46,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,3,1,0,66.67,33.33,0.00,4.06,100.00,0.00,1.96,100.00,12,8,33.33,0.64,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-103.63,Cukup,-9.83,Baik Sekali,8.80,Cukup,-89.46,Baik,4.7,Cukup,0.00,0.00,No Data,0.00,0.00,No Data,0.00,0.00,No Data,20585,8359,40.61,20585,829,4.03,19919,7618,38.24,4448,666,14.97,6,4,66.67,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,174.33,12.26,No Data,No Data,No Data,0.00,0.00,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.021827,122.993167,112.657
